page,section_title,text
Batman Begins,Plot,"In Gotham City, after falling down a well and getting swarmed by bats, a young Bruce Wayne develops a fear of them. At the opera with his parents, Bruce becomes unsettled by performers masquerading as bats and asks to leave. Outside, mugger Joe Chill murders Bruce's parents in front of him. Bruce is raised by the family butler, Alfred Pennyworth.
Fourteen years later, Chill testifies against the mafia crime boss, Carmine Falcone, and is paroled. Bruce intends to murder Chill to avenge his parents, but one of Falcone's hitmen does so first. Bruce's childhood friend, Rachel Dawes, berates him for acting outside the justice system. After confronting Falcone, who says real power comes from being feared, Bruce spends the next seven years traveling the world, training in combat, and immersing himself in the criminal underworld.
In a Bhutan prison, he is approached by Henri Ducard, who recruits him to the League of Shadows, led by Ra's al Ghul. The League believes Gotham is beyond saving and intends to destroy it. After completing his training, Bruce rejects the League and its mandate that killing is necessary. He escapes, burning down their temple in the process. Ra's is killed by falling debris, while Bruce saves the unconscious Ducard. Intent on fighting crime, Bruce returns to Gotham and takes an interest in his family's company, Wayne Enterprises, which is being taken public by businessman William Earle. Company archivist Lucius Fox, a friend of Bruce's father, allows him access to prototype defense technologies, including a protective bodysuit and the Tumbler, an armored vehicle. Bruce poses publicly as a shallow playboy while setting up a base in the caves beneath Wayne Manor and taking up the vigilante identity of ""Batman,"" inspired by his childhood fear, which he has now conquered.
Intercepting a drug shipment, Batman provides Rachel, now a Gotham Assistant District Attorney, with evidence against Falcone and enlists Sergeant James Gordon, one of Gotham's few honest police officers, to arrest him. In prison, Falcone meets Dr. Jonathan Crane, a corrupt psychologist who smuggled drugs into Gotham with his help. Donning a scarecrow mask, Crane sprays Falcone with a fear-inducing hallucinogen, driving him insane and transferring him to Arkham Asylum. While investigating Crane, Batman is ambushed by him and sprayed with the hallucinogen. Batman barely escapes and is saved by Alfred and Fox, who develop an antidote for the hallucinogen.
When Rachel accuses Crane of corruption, he reveals he has introduced his drug into Gotham's water supply and drugs her with the hallucinogen. Batman later subdues Crane and sprays him with his own chemical. While being interrogated, Crane claims to work for Ra's al Ghul. Batman evades the police to get Rachel to safety and administers the antidote. He gives her two vials: one for Gordon and the other for mass production. At Bruce's birthday party, Ducard reappears and reveals himself to be the true Ra's al Ghul. Having stolen a powerful microwave emitter from Wayne Enterprises, he plans to vaporize Gotham's water supply, rendering Crane's drug airborne and causing mass hysteria that will destroy the city. He sets Wayne Manor aflame and leaves Bruce to die, but Alfred rescues him. Ra's loads the emitter onto Gotham's monorail train to release the drug at the city's central water source. Batman rescues Rachel from a drugged mob and reveals his identity to her. He confronts Ra's on the train as Gordon uses the Tumbler's cannons to destroy a section of the track. Batman escapes the train and leaves Ra's to die as it crashes.
Bruce gains Rachel's respect. However, she refuses to be with him, promising they can be together when Gotham no longer needs Batman. Batman becomes a public hero. After purchasing a controlling stake in Wayne Enterprises, Bruce fires Earle and replaces him with Fox. Sergeant Gordon is promoted to Lieutenant, shows Batman the Bat-Signal, and tells him about a criminal who leaves behind Joker playing cards. Batman promises to look into it and disappears into the night."
Batman Begins,Cast,"Christian Bale as Bruce Wayne / Batman:A billionaire socialite who, after witnessing his parents' death in a mugging at age 8, travels around the world seven years before returning home to inherit his family company Wayne Enterprises whilst operating at night as a bat-masked vigilante bringing justice upon the criminal underworld of Gotham City. Bale was relatively unknown when cast. Before he was confirmed on September 11, 2003, having expressed interest in the role since Darren Aronofsky was planning his own film adaptation, Eion Bailey, Henry Cavill, Billy Crudup, Hugh Dancy, Jake Gyllenhaal, Joshua Jackson, David Boreanaz, Heath Ledger, who later played the Joker in The Dark Knight, and Cillian Murphy, who would later be cast as Dr. Jonathan Crane / Scarecrow, took interest in it as well. Josh Hartnett met with Nolan about the role, but decided against pursuing it. Bale, Bailey and Murphy auditioned using the Batman Forever sonar suit donated by Val Kilmer, but the cape was lost, and Amy Adams served as the casting reader for the casting of Bruce Wayne / Batman in a favor to the casting director. Bale felt the previous films underused Batman's character, overplaying the villains instead. To best pose as Batman, Bale studied graphic novels and illustrations of the superhero. Director Nolan said of Bale, ""He has exactly the balance of darkness and light that we were looking for."" Goyer stated that while some actors could play a great Bruce Wayne or a great Batman, Bale could portray both radically different personalities. Since he had lost a great deal of weight in preparation for his role in The Machinist, Bale hired a personal trainer to help him gain 100 pounds (45 kg) of muscle in the span of only a couple of months to help him physically prepare for the role. After realizing he went over by 30 pounds (14 kg), he lost the excess weight by the time filming began. Bale trained in Wing Chun Kung Fu under Eric Oram in preparation for the movie.Gus Lewis as Young Bruce Wayne.
Michael Caine as Alfred Pennyworth:A trusted butler to Bruce's parents, who continues his loyal service to their son after their deaths as his closest confidant. Nolan offered the role to Anthony Hopkins but he declined. Nolan went to Caine's country home to personally deliver him the script, telling what his role would be and describing Alfred as ""Batman's godfather"". Nolan felt Caine would effectively portray the foster father element of the character. Although Alfred is depicted in the film as having served the Wayne family for generations, Caine created his own backstory, in that before becoming Wayne's butler, Alfred served in the Special Air Service. After being wounded, he was invited to the position of the Wayne family butler by Thomas Wayne because, ""He wanted a butler, but someone a bit tougher than that, you know?""
Liam Neeson as Henri Ducard / Ra's al Ghul: The leader of the League of Shadows, an ancient society that uses chaos to punish the corrupt and decadent, who goes undercover as an associate of the League and trains Bruce in martial arts, later revealing himself in the film's climax. Writer David Goyer said he felt he was the most complex of all the Batman villains, comparing him to Osama bin Laden; ""He's not crazy in the way that all the other Batman villains are. He's not bent on revenge; he's actually trying to heal the world. He's just doing it by very draconian means."" Gary Oldman was first choice for the part, but ended up playing James Gordon instead. Guy Pearce, who collaborated with Christopher Nolan on Memento (2000), reported that the pair had discussions about him playing the role, but both of them decided that he was too young for the part. Viggo Mortensen was also considered for the role. Neeson is commonly cast as a mentor, so the revelation that his character was the main villain was intended to shock viewers.
Katie Holmes as Rachel Dawes: Bruce's childhood friend and love interest who serves as Gotham City's assistant district attorney and fights against corruption in the city of Gotham. Nolan found a ""tremendous warmth and great emotional appeal"" in Holmes, and also felt ""she has a maturity beyond her years that comes across in the film and is essential to the idea that Rachel is something of a moral conscience for Bruce"".Emma Lockhart as Young Rachel Dawes.
Gary Oldman as James ""Jim"" Gordon:One of the few uncorrupted Gotham City police officers, who is on duty the night of the murder of Bruce's parents and, in this way, shares a special bond with the adult Bruce and thus with Batman. Oldman was Nolan's first choice for Ra's al Ghul, but when Chris Cooper turned down the part of Gordon to spend time with his family Nolan decided that it would be refreshing for Oldman, who is renowned for his portrayals of villains, to play the role instead. ""I embody the themes of the movie which are the values of family, courage and compassion and a sense of right and wrong, good and bad and justice,"" Oldman said of his character. He filmed most of his scenes in Britain. Goyer said Oldman heavily resembled Gordon as drawn by David Mazzucchelli in Batman: Year One.
Cillian Murphy as Dr. Jonathan Crane / Scarecrow: A corrupt psychopharmacologist working as Chief Administrator of Arkham Asylum. A specialist in the psychology of fear, he has secretly created a fear-inducing toxin and plots with Ra's al Ghul to expose the entire Gotham population. Nolan decided against casting an Irish actor like Murphy for Batman, before casting him as Scarecrow. Murphy read numerous comics featuring the Scarecrow and discussed making the character look less theatrical with Nolan. Murphy explained, ""I wanted to avoid the Worzel Gummidge look, because he's not a very physically imposing man – he's more interested in the manipulation of the mind and what that can do.""
Tom Wilkinson as Carmine Falcone:The most powerful Mafia boss in Gotham, who shares a prison cell with Joe Chill after he murdered Bruce's parents. Later, after having Chill murdered for his decision to testify against their relationship, he goes into business with Dr. Jonathan Crane and Ra's al Ghul by smuggling in Crane's fear toxins through his drug shipments over the course of several months so that they can be mixed in with the city's water supply.
Rutger Hauer as William Earle:The CEO of Wayne Enterprises, who takes the company public in Bruce's long-term absence.
Ken Watanabe as decoy Ra's al Ghul:A member of the League of Shadows assigned to impersonate Ra's al Ghul during Bruce's training.
Morgan Freeman as Lucius Fox:A high-ranking Wayne Enterprises employee demoted to working in the company's Applied Science Division, where he conducts advanced studies in biochemistry and mechanical engineering and supplies Bruce with much of the gear necessary to carry out Batman's mission. He is promoted to CEO when Bruce takes control of the company by the end of the film.Other cast members include Mark Boone Junior as Arnold Flass, Gordon's corrupt partner; Linus Roache as Thomas Wayne, Bruce's late father; Larry Holden as district attorney Carl Finch; Colin McFarlane as Gillian B. Loeb, the police commissioner; Christine Adams as Jessica, William Earle's secretary; Vincent Wong as an old Asian prisoner; Sara Stewart as Martha Wayne, Bruce's late mother; Richard Brake as Joe Chill, the Waynes' killer; Gerard Murphy as the corrupt High Court Judge Faden; Charles Edwards as a Wayne Enterprises executive; Tim Booth as Victor Zsasz; Rade Šerbedžija as a homeless man, who is the last person to meet Bruce when he leaves Gotham City, and the first civilian to see Batman, Risteárd Cooper and Andrew Pleavin as uniformed policemen, Jo Martin as a police prison official, and Shane Rimmer and Jeremy Theobald (the star and co-producer of Nolan's 1998 film Following) as Gotham Water Board technicians. Jack Gleeson, who had previously co-starred with Bale in 2002's Reign of Fire and later found fame for his role as Joffrey Baratheon in the HBO series Game of Thrones, appears as a young admirer of Batman who is later saved by him from Ra's al Ghul's men; Gleeson was cast at Bale's recommendation. Actors John Foo, Joey Ansah, Spencer Wilding, Dave Legeno, Khan Bonfils, Mark Strange, Grant Guirey, Rodney Ryan and Dean Alexandrou portray members of the League of Shadows. Hayden Nickel made his acting debut portraying James Gordon Jr."
Batman Begins,Impact,"Batman Begins has been cited as one of the most influential films of the 2000s. On the film's 10th anniversary, Forbes published an article describing its lasting influence: ""Reboot became part of our modern vocabulary, and superhero origin stories became increasingly en vogue for the genre. The phrase ""dark and gritty"" likewise joined the cinematic lexicon, influencing our perception of different approaches to storytelling not only in the comic book film genre but in all sorts of other genres as well."" Shawn Adler of MTV stated Batman Begins heralded a trend of darker genre films, that either retold back-stories or rebooted them altogether. Examples he cited were Casino Royale, as well as the in-development RoboCop, Red Sonja, and Grayskull. In 2012, Kevin Feige, film producer and president of Marvel Studios, stated, ""Chris Nolan's Batman is the greatest thing that happened [to superhero films] because it bolstered everything."" Filmmakers, screenwriters and producers who have mentioned Batman Begins or The Dark Knight Trilogy to describe their projects include:"
Batman Begins,Themes,"Comic book writer and author Danny Fingeroth argues that a strong theme in the film is Bruce's search for a father figure, saying ""[Alfred] is the good father that Bruce comes to depend on. Bruce's real father died before they could establish an adult relationship, and Liam Neeson's Ducard is stern and demanding, didactic and challenging, but not a father figure with any sympathy. If Bruce is anyone's son, he is Alfred's. [Morgan] Freeman's Lucius is cool and imperturbable, another steady anchor in Bruce's life."" Blogger Mark Fisher states that Bruce's search for justice requires him to learn from a proper father figure, with Thomas Wayne and Ra's al Ghul being the two counterpoints. Alfred provides a maternal figure of unconditional love, despite the overall lack of focus on a mother figure in Bruce's life.Fingeroth also argues that a major theme in the film is fear, which supports the story of Bruce Wayne becoming a hero. Director Christopher Nolan stated that the idea behind the film was ""a person who would confront his innermost fear and then attempt to become it"". Fingeroth referred to this film's depiction as ""the man with fear—but who rises above it"". The theme of fear is further personified by the Scarecrow. The film depicts how fear can affect all creatures regardless of might. Allusions to fear are seen throughout, from Bruce's conquering of his demons, to becoming Batman, to the Scarecrow and his deadly fear toxin. The macabre, distorted images presented in the Scarecrow's toxin-induced hallucinations also express the idea of terror to an extreme.Critic Brian Orndorf considered Batman Begins ""fierce"" and ""demonstrative in brood"", giving the film an abundance of gravitas and energy. It strays away from the lighter fare of Joel Schumacher's 1997 Batman film, Batman & Robin, which contained camp one-liners throughout. The theme of fear is intensified with the help of the musical score by Zimmer and Howard, which also ""eschews traditional heroic themes"". Also contrary to previous Batman films, a psychological investigation of Bruce Wayne's split personality in the bat suit is only lightly touched upon. Orndorf noted that Bruce is a ""character constantly striving to do the right thing, not worn down by incessant reexamination""."
Batman Begins,Summary,"Batman Begins is a 2005 superhero film directed by Christopher Nolan and written by Nolan and David S. Goyer. Based on the DC Comics character Batman, it stars Christian Bale as Bruce Wayne / Batman, with Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Ken Watanabe, and Morgan Freeman in supporting roles. The film reboots the Batman film series, telling the origin story of Bruce Wayne from the death of his parents to his journey to become Batman and his fight to stop Ra's al Ghul and the Scarecrow from plunging Gotham City into chaos.
After Batman & Robin was panned by critics and underperformed at the box office, Warner Bros. Pictures cancelled future Batman films, including Joel Schumacher's planned Batman Unchained. Between 1998 and 2003, several filmmakers collaborated with Warner Bros. in attempting to reboot the franchise. After the studio rejected a Batman origin story reboot Joss Whedon pitched in December 2002, Warner Bros. hired Nolan in January 2003 to direct a new film. Nolan and Goyer began development on the film in early 2003. Aiming for a darker, more realistic tone compared to the previous films, a primary goal for their vision was to engage the audience's emotional investment in both the Batman and Bruce Wayne identities of the lead character. The film, which was principally shot in the United Kingdom, Iceland and Chicago, relied heavily on traditional stunts and miniature effects, with computer-generated imagery being used in a minimal capacity compared to other action films. Comic book storylines such as The Man Who Falls, Batman: Year One, and Batman: The Long Halloween served as inspiration.
Expectations for Batman Begins ranged from moderate to low, which originated from the poor reception of Batman & Robin that was credited with stalling the Batman film series in 1997. After premiering in Tokyo on May 31, 2005, the film was released on June 15, 2005. It received highly positive reviews from critics, who deemed the film an improvement over the Schumacher films. The film grossed over $371.9 million worldwide, becoming the ninth-highest-grossing film of 2005 and was the second highest grossing Batman film at the time behind Tim Burton's Batman (1989). Receiving a nomination for the Academy Award for Best Cinematography, the film elevated Bale to leading man status while it made Nolan a high-profile director.
Since its release, Batman Begins has often been cited as one of the most influential films of the 2000s. It was credited for revitalizing the Batman character in popular culture, shifting its tone towards a darker and more serious tone and style. The film helped popularise the term reboot in Hollywood, inspiring studios and filmmakers to revive franchises with realistic and serious tones. It was followed by The Dark Knight (2008) and The Dark Knight Rises (2012), with the three films constituting The Dark Knight Trilogy."
The Prestige,Plot,"The events of the past are told through the diaries of nineteenth century magicians Rupert Angier and Alfred Borden. The diaries are read by their great-grandchildren, Kate Angier and Andrew Westley (born Nicholas Borden) who meet in the present day, with the two diary accounts being interspersed with events of Kate's and Andrew's framing story throughout the novel. Andrew's story is related to his childhood, being adopted and his current job as a journalist. Kate's story is related to a traumatic event that happened when she was five years old where she witnessed a small boy murdered by her father. This leads her to search for Andrew whom she believes was the twin of the boy she witnessed die. As the diaries are read, the truth of the what happened to Andrew's twin is explained by the history of Angier and Borden.
The central plot focuses on a feud between the  magicians, begun in the fledgling years of their careers when Borden disrupts a fake seance being conducted by Angier and his pregnant wife Julia after they had conducted a previous one for one of Borden's relatives. Borden was upset that they had presented it as real when he realized it was an illusion. During the scuffle, Julia is thrown to the ground, resulting in a miscarriage. The two men are mutually antagonistic for many years afterwards as they rise to become world-renowned stage magicians, with the feud affecting the later generations of their families to come, including Kate and Andrew.
Borden develops a teleportation act called ""The Transported Man"", and later creates an improved version named ""The New Transported Man"", which appears to move him from one closed cabinet to another in the blink of an eye without appearing to pass through the intervening space. The act seems to defy physics and puts all previous magic acts to shame. The reader learns that Alfred Borden is actually not one man but two: identical twins named Albert and Frederick who share the identity of ""Alfred Borden"" secretly to ensure their professional success with ""The New Transported Man"". Angier suspects that Borden uses a double, but dismisses the idea because he thinks it is too easy.
In the meantime, Angier had developed his own act and left his wife for his stage assistant, Olivia. Desperate to discover how Borden's trick is performed, Angier sends Olivia to spy on Borden. However, Olivia begins to fall in love with Borden, and they conspire to send Angier on a wild goose chase thinking that the act relies on technology from the acclaimed inventor Nikola Tesla. After being contacted by Angier, Tesla eventually constructs a machine which Angier uses to develop an act called ""In a Flash"". Tesla's device teleports a human being from one place to another by creating an exact physical duplicate at a specified destination into which the person's consciousness is instantly transmitted while the original body is left behind, lifeless. Because of this method, Angier is forced to devise a way to conceal the original bodies whenever the trick is performed. He clinically refers to these near-lifeless shells in his diary as ""the prestiges"".
Angier's new act is as successful as Borden's. The infuriated and obsessed Borden attempts to discover how ""In a Flash"" is performed. During one performance he breaks into the backstage area and turns off the power to Angier's device, mistakenly believing the generator powering it is about to catch fire and light the theatre ablaze. The subsequent teleportation is incomplete and both the duplicated Angier and the ""prestige"" Angier survive as separate persons after this incident, though the duplicate seems to lack physical substance while the original feels increasingly weak physically. The original ""prestige"" Angier fakes his own death as part of a previous plan to put behind his public persona of a magician, and returns as the heir to his family estate of Caldlow House without any publicity. While there, he becomes terminally ill.
Angier had discovered Borden's secret as a twin prior to the accident that created his duplicate. Angier's duplicate, feeling alienated from the world by his ghostly form and consumed with thoughts of revenge, attacks one of the Borden twins before a performance. However, Borden's apparent poor health, age, and the duplicate Angier's resurgent sense of morality cause him to stop short of murdering the twin. It is implied that this particular Borden twin dies a few days later, and the incorporeal Angier travels to meet the original ""prestige"" Angier, now living as the 14th Earl of Colderdale. They come into possession of Borden's diary, courtesy of a disgruntled third party in need of money, but publish it without revealing the twins' secret. Shortly afterwards, the corporeal Angier dies and his ghostly duplicate uses Tesla's device one last time to teleport himself into the body, hoping that he will either reanimate it and become whole again or kill himself instantly and so reunite with his other self in death.
In the final section of the novel, Kate and Andrew's mystery is revealed. Andrew Westley goes into the Angier family vault and finds all of Rupert Angier's near-lifeless shells (the prestiges) labelled with the date and place they were created. Andrew also finds a prestige of a small boy labeled Nicholas Julius Borden, with his place of creation listed as Caldlow House. It is then understood that Andrew himself never had a twin. When Kate and Andrew were children, their families had met in an attempt to mend the rift between them. However, during an argument, Kate's father had cast the young Nicholas Borden into the Tesla device, rendering the ""prestige"" Nicholas Borden lifeless on the ground and creating the duplicate who later became Andrew Westley. It is also revealed to Kate Angier and Andrew Westley that Angier's attempt to become whole again was successful, and some form of Rupert Angier had continued to survive in the Caldlow House to the present day."
The Prestige,Critical reception,"David Langford wrote in a 1996 review, ""It seems entirely logical that Christopher Priest's latest novel should centre on stage magic and magicians. The particular brand of misdirection that lies at the heart of theatrical conjuring is also a favourite Priest literary ploy – the art of not so much fooling the audience as encouraging them to fool themselves... The final section is strange indeed, more Gothic than science fiction in flavour, heavy with metaphorical power. There are revelations, and more is implied about the peculiar nature of the Angier/Tesla effect's payoff or 'prestige' – a term used in this sense by both magicians. The trick is done; before and after, Priest has rolled up both sleeves; his hands are empty and he fixes you with an honest look. And yet ... you realise that it is necessary to read The Prestige again. It's an extraordinary performance, his best book in years, perhaps his best ever. Highly recommended.""Publishers Weekly said, ""This is a complex tale that must have been extremely difficult to tell in exactly the right sequence, while still maintaining a series of shocks to the very end. Priest has brought it off with great imagination and skill. It's only fair to say, though, that the book's very considerable narrative grip is its principal virtue. The characters and incidents have a decidedly Gothic cast, and only the restraint that marks the story's telling keeps it on the rails.""Elizabeth Hand wrote, ""There is a certain amount of grim humor to The Prestige, the blatant Can-You-Top-This? careerism of dueling prestidigitators whose feud is carried out against the lush backdrop of fin-de-siècle London. And the novel provides the pleasures of a mystery as well, as the reader attempts to find the man (or men) behind the curtain, and discover the true parentage of Andrew Westley, who may or may not be related to Borden. But at its core The Prestige is a horror novel, and a particularly terrifying one because its secret is revealed so slowly, and in such splendid language... The Prestige is both disturbing and exhilarating – one closes the book shaken, wondering how it was done; and eager to see what the master illusionist will produce for his next trick.""Adam Kirkman called the novel ""vastly underrated... Priest weaves together a tale of two feuding stage magicians at the turn of the century, a dark but mesmerising story that sees two men become consumed with, and eventually destroyed by, obsession. While the film hammers you over the head with clues about the final twist, so much so that you feel embarrassed when re-watching it, Priest's novel is more subtle, although a smart reader is in on the trick from the start. The real beauty of this novel is the characters, who are fleshed out more fully here than on screen, and the magical elements of the story achieve a fantastical, creepy edge. If you enjoyed the film, then Priest's novel is grander in scope and more chilling in nature, and is a gem that should not be ignored.""The Guardian review said, ""Behind all the surface trickery lies an intelligent and thoughtful novel about the nature of illusion and secrecy, and about the damage done to those who appoint themselves keepers of such dangerous secrets.""A review in Kliatt of the audiobook version narrated by Simon Vance described it as ""a spellbinding and entirely original neo-gothic thriller that moves the listener adroitly from the world of staged illusion to the otherworldly, from the historical...to the horror-laden, with all sorts of strange and dazzling stops along the way. The plot is convoluted and occasionally technical, spanning generations and incorporating multiple narrators and a large cast of characters. A lesser audiobook narrator might inadvertently muddle the story, but, as usual, Vance displays a dramatic and vocal range that is more than equal to his task. He enhances Priest's novel with superb pacing and a host of highly convincing voices and accents."""
The Prestige,Awards and nominations,"British Fantasy Award nominee, 1995
James Tait Black Memorial Prize winner, 1996
Bram Stoker Award nominee, 1996
World Fantasy Award winner, 1996
Arthur C. Clarke Award nominee, 1996"
The Prestige,2006 film adaptation,"A motion picture adaptation, which had been optioned by Newmarket Films, and which was directed by Christopher Nolan, was released on 20 October 2006 in the United States. It stars Christian Bale and Hugh Jackman as Borden and Angier, respectively, as well as Michael Caine, Scarlett Johansson and David Bowie. The novel was adapted by Christopher and Jonathan Nolan."
The Prestige,Summary,"The Prestige is a 1995 science fiction novel by British writer Christopher Priest. It tells the story of a prolonged feud between two stage magicians in late 1800s England. Its structure is that of a collection of diaries that were kept by the protagonists and later collated. The title derives from the novel's fictional practice of stage illusions having three parts: the setup, the performance, and the prestige (effect).The novel received the James Tait Black Memorial Prize for best fiction and the World Fantasy Award for Best Novel."
The Dark Knight,Plot,"A gang of masked criminals rob a mafia-owned bank in Gotham City, betraying and killing each other until the sole survivor, the Joker, reveals himself as the mastermind and escapes with the money. The vigilante Batman, district attorney Harvey Dent, and police lieutenant Jim Gordon ally to eliminate Gotham's organized crime. Batman's true identity, the billionaire Bruce Wayne, publicly supports Dent as Gotham's legitimate protector, as Wayne believes Dent's success will allow Batman to retire, allowing him to romantically pursue his childhood friend Rachel Dawes, despite her relationship with Dent.
Gotham's mafia bosses gather to discuss protecting their organizations from the Joker, the police, and Batman. The Joker interrupts the meeting and offers to kill Batman for half of the fortune their accountant, Lau, concealed before fleeing to Hong Kong to avoid extradition. With the help of Wayne Enterprises CEO Lucius Fox, Batman finds Lau in Hong Kong and returns him to the custody of Gotham police. His testimony enables Dent to apprehend the crime families. The bosses accept the Joker's offer, and he kills high-profile targets involved in the trial, including the judge and police commissioner. Although Gordon saves the mayor, the Joker threatens that his attacks will continue until Batman reveals his identity. He targets Dent at a fundraising dinner and throws Rachel out of a window, but Batman rescues her.
Wayne struggles to understand the Joker's motives, but his butler Alfred Pennyworth says ""some men just want to watch the world burn."" Dent claims he is Batman to lure out the Joker, who attacks the police convoy transporting him. Batman and Gordon apprehend the Joker, and Gordon is promoted to commissioner. At the police station, Batman interrogates the Joker, who says he finds Batman entertaining and has no intention of killing him. Having deduced Batman's feelings for Rachel, the Joker reveals she and Dent are being held separately in buildings rigged to explode. Batman races to save Rachel while Gordon and the other officers go after Dent, but they discover the Joker gave their positions in reverse. The bombs detonate, killing Rachel and severely burning Dent's face on one side. The Joker escapes custody, extracts the fortune's location from Lau, and burns all of it, killing Lau in the process.
Wayne Enterprises accountant Coleman Reese deduces Batman's identity and attempts to expose it, but the Joker threatens to blow up a hospital unless Reese is killed. While the police evacuate hospitals and Gordon struggles to keep Reese alive, the Joker meets with a disillusioned Dent, persuading him to take the law into his own hands and avenge Rachel. Dent defers his decision-making to his half-scarred, two-headed coin, killing the corrupt officers and the mafia involved in Rachel's death. As panic grips the city, the Joker reveals two evacuation ferries, one carrying civilians and the other prisoners, are rigged to explode at midnight unless one group sacrifices the other. To the Joker's disbelief, the passengers refuse to kill one another. Batman subdues the Joker but refuses to kill him. Before the police arrest the Joker, he says although Batman proved incorruptible, his plan to corrupt Dent has succeeded.
Dent takes Gordon's family hostage, blaming his negligence for Rachel's death. He flips his coin to decide their fates, but Batman tackles him to save Gordon's son, and Dent falls to his death. Believing Dent is the hero the city needs and the truth of his corruption will harm Gotham, Batman takes the blame for his death and actions and persuades Gordon to conceal the truth. Pennyworth burns an undelivered letter to Wayne from Rachel, who said she chose Dent, and Fox destroys the invasive surveillance network that helped Batman find the Joker. The city mourns Dent as a hero, and the police launch a manhunt for Batman."
The Dark Knight,Cast,"Christian Bale as Bruce Wayne / Batman: A wealthy socialite who as a child was traumatized by his parents' murder. Wayne secretly operates as the heroic vigilante Batman.
Michael Caine as Alfred Pennyworth: Wayne's father-figure, trusted butler, and confidant.
Heath Ledger as the Joker: A criminal mastermind and anarchist who is determined to sow chaos and corruption throughout Gotham.
Gary Oldman as James Gordon: One of the few honest officers in the Gotham City Police Department (GCPD) who assists Batman's war on crime.
Aaron Eckhart as Harvey Dent / Two-Face: Gotham's noble district attorney-turned-violent vigilante.
Maggie Gyllenhaal as Rachel Dawes: Gotham's assistant district attorney and Wayne's childhood friend, who is divided between her feelings for him and for Dent.
Morgan Freeman as Lucius Fox: Wayne Enterprises' CEO who supplies technology and equipment for Batman's campaign.Additionally, Eric Roberts, Michael Jai White, and Ritchie Coster appear as crime bosses Sal Maroni, Gambol, and the Chechen, respectively; while Chin Han portrays Lau, a Chinese criminal banker. The GCPD cast includes Colin McFarlane as commissioner Gillian B. Loeb, Keith Szarabajka and Ron Dean as detectives Stephens and Wuertz, Monique Gabriela Curnen as rookie detective Anna Ramirez and Philip Bulcock as Murphy.The cast also features Joshua Harto as Wayne Enterprises employee Coleman Reese, Anthony Michael Hall as news reporter Mike Engel, Néstor Carbonell as mayor Anthony Garcia, William Fichtner as a bank manager, Nydia Rodriguez Terracina as Judge Surrillo, Tom ""Tiny"" Lister Jr. as a prisoner, Beatrice Rosen as Wayne's Russian ballerina date, and David Dastmalchian as the Joker's paranoid schizophrenic henchman Thomas Schiff. Melinda McGraw, Nathan Gamble, and Hannah Gunn portray Gordon's wife Barbara, his son James Jr., and his daughter, respectively. The Dark Knight features several cameo appearances from Cillian Murphy, who reprises his role as Jonathan Crane / Scarecrow from Batman Begins; musical performer Matt Skiba; as well as United States Senator and Batman fan Patrick Leahy, who has appeared in or voiced characters in other Batman media."
The Dark Knight,Sequel,"The Dark Knight was followed by The Dark Knight Rises (2012), the conclusion of The Dark Knight Trilogy. In the film, Batman is forced out of his self-imposed retirement following the events of The Dark Knight; he allies with Selina Kyle / Catwoman to take on Bane, a physically imposing revolutionary allied with the League of Shadows that is featured in Batman Begins. The Dark Knight Rises was a financial success, surpassing the box-office take of The Dark Knight, and was generally well received by critics but proved more divisive with audiences."
